name,ID,speed,weight,pVGRF_N,pVACC_g,pRGRF_N,pRACC_g
2017-02-011_ED_4km_m1_1_053.txt,53,4,93.2,1402.19,1.7,1418.26,1.73
2017-02-011_ED_5km_m1_1_053.txt,53,5,93.2,1539.65,1.9,1584.35,2
2017-02-016_ED_2km_m1_1_054.txt,54,2,101.1,1220.49,1.34,1232.59,1.48
2017-02-016_ED_3km_m1_1_054.txt,54,3,101.1,1295.97,1.41,1309.46,1.56
2017-02-016_ED_4km_m1_1_054.txt,54,4,101.1,1367.94,1.57,1393.83,1.77
2017-02-016_ED_5km_m1_1_054.txt,54,5,101.1,1376.14,1.72,1420.76,1.95
2017-02-016_ED_6km_m1_1_054.txt,54,6,101.1,1534.55,2.34,1571.34,2.77
2017-02-016_ED_2km_m1_1_055.txt,55,2,108.8,1310.8,1.36,1315.15,1.37
2017-02-016_ED_3km_m1_1_055.txt,55,3,108.8,1424.51,1.49,1439.37,1.52
2017-02-016_ED_4km_m1_1_055.txt,55,4,108.8,1584.58,1.72,1613.15,1.84
2017-02-016_ED_5km_m1_1_055.txt,55,5,108.8,1668.73,1.96,1711.2,2.21
2017-02-016_ED_6km_m1_1_055.txt,55,6,108.8,1772.4,2.18,1831.22,2.48
2017-02-023_ED_2km_m1_1_056.txt,56,2,124.1,1335.04,1.2,1346.07,1.21
2017-02-023_ED_3km_m1_1_056.txt,56,3,124.1,1430.26,1.31,1450.66,1.33
2017-02-023_ED_4km_m1_1_056.txt,56,4,124.1,1490.7,1.46,1530.95,1.49
2017-02-023_ED_5km_m1_1_056.txt,56,5,124.1,1719.94,1.67,1774,1.74
2017-02-023_ED_6km_m1_1_056.txt,56,6,124.1,1781.48,1.8,1872.09,1.94
2017-03-27_ED_2km_m1_1_057.txt,57,2,139.1,1663.15,1.33,1685.67,1.44
2017-03-27_ED_3km_m1_1_057.txt,57,3,139.1,1898.78,1.67,1928.89,1.79
2017-03-27_ED_4km_m1_1_057.txt,57,4,139.1,2124.05,1.94,2173.45,2.07
2017-03-27_ED_5km_m1_1_057.txt,57,5,139.1,2267.03,2.14,2343.32,2.37
2017-03-17_ED_2km_m1_1_060.txt,60,2,95.3,1123.69,1.32,1138.43,1.4
2017-03-17_ED_3km_m1_1_060.txt,60,3,95.3,1264.95,1.44,1286.03,1.58
2017-03-17_ED_4km_m1_1_060.txt,60,4,95.3,1422.97,1.61,1463.64,1.87
2017-03-17_ED_5km_m1_1_060.txt,60,5,95.3,1478.99,1.69,1517.15,2.04
2017-03-17_ED_6km_m1_1_060.txt,60,6,95.3,1576.61,1.99,1636.66,2.56
2017-03-17_ED_2km_m1_1_061.txt,61,2,90.7,1013.57,1.23,1025.79,1.27
2017-03-17_ED_3km_m1_1_061.txt,61,3,90.7,1112.58,1.32,1126.92,1.39
2017-03-17_ED_4km_m1_1_061.txt,61,4,90.7,1236.11,1.5,1255.23,1.55
2017-03-17_ED_5km_m1_1_061.txt,61,5,90.7,1346.48,1.86,1384.71,1.93
2016-11-25_ED_2km_1_m1_100.txt,100,2,66,810.24,1.11,819.01,1.31
2016-11-25_ED_3km_1_m1_100.txt,100,3,66,867.21,1.29,883.98,1.47
2016-11-25_ED_4km_1_m1_100.txt,100,4,66,925.85,1.48,953.72,1.64
2016-11-25_ED_5km_1_m1_100.txt,100,5,66,945.9,1.61,998.83,1.83
2016-12-23_ED_2km_m1_1_101.txt,101,2,62.8,750.76,1.34,755.39,1.36
2016-12-23_ED_3km_m1_1_101.txt,101,3,62.8,821.98,1.58,829.36,1.61
2016-12-23_ED_4km_m1_1_101.txt,101,4,62.8,881.39,1.88,892.45,1.94
2016-12-23_ED_5km_m1_1_101.txt,101,5,62.8,931.52,2.14,948.65,2.19
2016-12-23_ED_6km_m1_1_101.txt,101,6,62.8,975.55,2.47,1000.92,2.63
2016-12-23_ED_2km_m1_1_103.txt,103,2,62.4,843.86,1.25,856.76,1.28
2016-12-23_ED_3km_m1_1_103.txt,103,3,62.4,945.81,1.43,964.42,1.5
2016-12-23_ED_4km_m1_1_103.txt,103,4,62.4,1011.34,1.69,1038.71,1.84
2016-12-23_ED_5km_m1_1_103.txt,103,5,62.4,1057.42,1.95,1105.35,2.18
2016-12-23_ED_6km_m1_1_103.txt,103,6,62.4,1042.3,1.9,1094.98,2.08
2016-12-23_ED_2km_m1_1_105.txt,105,2,94.1,1165.76,1.31,1183.86,1.34
2016-12-23_ED_3km_m1_1_105.txt,105,3,94.1,1234.78,1.38,1261.77,1.42
2016-12-23_ED_4km_m1_1_105.txt,105,4,94.1,1257.96,1.5,1307.21,1.58
2016-12-23_ED_5km_m1_1_105.txt,105,5,94.1,1273.87,1.68,1326.34,1.73
2016-12-23_ED_6km_m1_1_105.txt,105,6,94.1,1362.38,2.06,1420.17,2.14
2017-01-02_ED_2km_m1_1_Diana.txt,106,2,59,716.15,1.32,724.59,1.33
2017-01-02_ED_3km_m1_1_Diana.txt,106,3,59,782.87,1.54,798.54,1.58
2017-01-02_ED_4km_m1_1_Diana.txt,106,4,59,836.79,1.73,862.05,1.81
2017-01-02_ED_5km_m1_1_Diana.txt,106,5,59,915.3,2,945.46,2.11
2017-01-02_ED_6km_m1_1_Diana.txt,106,6,59,987.64,2.18,1022.4,2.46
2017-01-13_ED_2km_m1_1_Florencio.txt,107,2,81.7,937.04,1.15,947.52,1.27
2017-01-13_ED_3km_m1_1_Florencio.txt,107,3,81.7,1055.03,1.33,1081.09,1.51
2017-01-13_ED_4km_m1_1_Florencio.txt,107,4,81.7,1144.94,1.55,1169.59,1.71
2017-01-13_ED_5km_m1_1_Florencio.txt,107,5,81.7,1196.39,1.74,1225.57,1.98
2017-01-13_ED_6km_m1_1_Florencio.txt,107,6,81.7,1280.04,1.97,1320.61,2.1
2017-12-05_ED_2km_m1_1_108.txt,108,2,60,665.37,1.31,670.86,1.33
2017-12-05_ED_3km_m1_1_108.txt,108,3,60,697.97,1.45,705.14,1.48
2017-12-05_ED_4km_m1_1_108.txt,108,4,60,727.27,1.56,737.44,1.6
2017-12-05_ED_5km_m1_1_108.txt,108,5,60,785.3,1.77,791.96,1.82
2017-12-05_ED_6km_m1_1_108.txt,108,6,60,825.78,1.86,838.58,1.97
2017-12-05_ED_2km_m1_1_109.txt,109,2,72.3,860.2,1.2,866.57,1.22
2017-12-05_ED_3km_m1_1_109.txt,109,3,72.3,938.06,1.33,954.16,1.39
2017-12-05_ED_4km_m1_1_109.txt,109,4,72.3,995.33,1.46,1016.31,1.51
2017-12-05_ED_5km_m1_1_109.txt,109,5,72.3,1041.98,1.56,1070.34,1.64
2017-12-05_ED_6km_m1_1_109.txt,109,6,72.3,1082.24,1.67,1119.58,1.81
2017-12-05_ED_2km_m1_1_110.txt,110,2,83.9,1084.63,1.24,1097.12,1.31
2017-12-05_ED_3km_m1_1_110.txt,110,3,83.9,1145.09,1.4,1161.77,1.5
2017-12-05_ED_4km_m1_1_110.txt,110,4,83.9,1177.44,1.5,1203.32,1.54
2017-12-05_ED_5km_m1_1_110.txt,110,5,83.9,1223.39,1.67,1258.73,1.71
2017-12-05_ED_6km_m1_1_110.txt,110,6,83.9,1295.78,1.86,1345.01,1.92
2017-12-05_ED_2km_m1_1_111.txt,111,2,75.6,966.58,1.25,978.03,1.27
2017-12-05_ED_3km_m1_1_111.txt,111,3,75.6,1019.28,1.37,1040.82,1.41
2017-12-05_ED_4km_m1_1_111.txt,111,4,75.6,1059.92,1.52,1091.16,1.58
2017-12-05_ED_5km_m1_1_111.txt,111,5,75.6,1095.1,1.67,1130.38,1.73
2017-12-05_ED_6km_m1_1_111.txt,111,6,75.6,1158.53,1.93,1206.6,1.96
2017-12-05_ED_2km_m1_1_112.txt,112,2,59.1,807.28,1.29,823.88,1.31
2017-12-05_ED_3km_m1_1_112.txt,112,3,59.1,853.15,1.44,876.29,1.49
2017-12-05_ED_4km_m1_1_112.txt,112,4,59.1,906.41,1.59,936.72,1.66
2017-12-05_ED_5km_m1_1_112.txt,112,5,59.1,956.97,1.75,986.53,1.81
2017-12-05_ED_6km_m1_1_112.txt,112,6,59.1,1060.58,1.97,1113.35,2.21
2017-12-06_ED_2km_m1_1_113.txt,113,2,77.8,910.59,1.35,916.06,1.36
2017-12-06_ED_3km_m1_1_113.txt,113,3,77.8,978.84,1.47,989.57,1.53
2017-12-06_ED_4km_m1_1_113.txt,113,4,77.8,981.39,1.56,993.87,1.67
2017-12-06_ED_5km_m1_1_113.txt,113,5,77.8,989.77,1.64,1006.89,1.77
2017-12-06_ED_6km_m1_1_113.txt,113,6,77.8,1012.57,1.88,1034.22,2.02
2017-12-06_ED_2km_m1_1_114.txt,114,2,65.5,894.06,1.43,904.11,1.46
2017-12-06_ED_3km_m1_1_114.txt,114,3,65.5,945.64,1.61,961.33,1.64
2017-12-06_ED_4km_m1_1_114.txt,114,4,65.5,970.64,1.66,990.78,1.68
2017-12-06_ED_5km_m1_1_114.txt,114,5,65.5,1049.36,1.8,1078.99,1.85
2017-12-06_ED_6km_m1_1_114.txt,114,6,65.5,1091.6,2,1129.04,2.07
2017-12-06_ED_2km_m1_1_115.txt,115,2,64.8,913.43,1.36,927.93,1.39
2017-12-06_ED_3km_m1_1_115.txt,115,3,64.8,981.84,1.55,1000.54,1.6
2017-12-06_ED_4km_m1_1_115.txt,115,4,64.8,1060.39,1.79,1084.65,1.82
2017-12-06_ED_5km_m1_1_115.txt,115,5,64.8,1125.61,1.94,1155.48,1.99
2017-12-06_ED_6km_m1_1_115.txt,115,6,64.8,1172.51,2.1,1218.54,2.22
2017-12-06_ED_2km_m1_1_116.txt,116,2,84.3,1071.48,1.38,1086.34,1.4
2017-12-06_ED_3km_m1_1_116.txt,116,3,84.3,1181.04,1.5,1197.31,1.53
2017-12-06_ED_4km_m1_1_116.txt,116,4,84.3,1178.14,1.41,1203.44,1.45
2017-12-06_ED_5km_m1_1_116.txt,116,5,84.3,1221.45,1.57,1249.61,1.61
2017-12-06_ED_6km_m1_1_116.txt,116,6,84.3,1291.99,1.78,1337.32,1.83
2017-12-06_ED_2km_m1_1_117.txt,117,2,51.4,713.5,1.28,730.82,1.3
2017-12-06_ED_3km_m1_1_117.txt,117,3,51.4,746.39,1.41,765.4,1.43
2017-12-06_ED_4km_m1_1_117.txt,117,4,51.4,782.71,1.62,802.46,1.65
2017-12-06_ED_5km_m1_1_117.txt,117,5,51.4,847.39,1.77,867.71,1.85
2017-12-06_ED_6km_m1_1_117.txt,117,6,51.4,908.83,2.02,944.98,2.22
2017-12-09_ED_2km_m1_1_118.txt,118,2,73.2,833.44,1.21,839.74,1.24
2017-12-09_ED_3km_m1_1_118.txt,118,3,73.2,903.54,1.35,911.67,1.4
2017-12-09_ED_4km_m1_1_118.txt,118,4,73.2,902.52,1.57,911.69,1.63
2017-12-09_ED_5km_m1_1_118.txt,118,5,73.2,982.01,1.67,994.44,1.76
2017-12-09_ED_6km_m1_1_118.txt,118,6,73.2,1022.59,1.93,1046.77,1.96
2017-12-09_ED_2km_m1_1_119.txt,119,2,72.7,858.42,1.22,869.04,1.26
2017-12-09_ED_3km_m1_1_119.txt,119,3,72.7,912.23,1.34,933.1,1.41
2017-12-09_ED_4km_m1_1_119.txt,119,4,72.7,978.41,1.51,1007.85,1.58
2017-12-09_ED_5km_m1_1_119.txt,119,5,72.7,1062.31,1.77,1100.49,1.87
2017-12-09_ED_6km_m1_1_119.txt,119,6,72.7,1092.62,1.83,1134.52,1.92
2017-12-11_ED_2km_m1_1_120.txt,120,2,56.2,670.17,1.38,674.65,1.4
2017-12-11_ED_3km_m1_1_120.txt,120,3,56.2,734,1.5,744.82,1.54
2017-12-11_ED_4km_m1_1_120.txt,120,4,56.2,804.51,1.7,819.53,1.76
2017-12-11_ED_5km_m1_1_120.txt,120,5,56.2,836.94,2.03,854.56,2.06
2017-12-11_ED_6km_m1_1_120.txt,120,6,56.2,899.28,2.43,923.82,2.51
2017-12-20_ED_2km_m1_1_121.txt,121,2,72.3,840.96,1.26,845.44,1.34
2017-12-20_ED_3km_m1_1_121.txt,121,3,72.3,919.1,1.36,928.84,1.51
2017-12-20_ED_4km_m1_1_121.txt,121,4,72.3,901.23,1.44,917.36,1.62
2017-12-20_ED_5km_m1_1_121.txt,121,5,72.3,901.15,1.59,930.75,1.76
2017-12-20_ED_6km_m1_1_121.txt,121,6,72.3,969.53,1.87,990.78,1.93
2017-12-22_ED_2km_m1_1_122.txt,122,2,68.7,853.21,1.31,865.41,1.33
2017-12-22_ED_3km_m1_1_122.txt,122,3,68.7,926.64,1.46,947.94,1.48
2017-12-22_ED_4km_m1_1_122.txt,122,4,68.7,988.95,1.74,1010.9,1.77
2017-12-22_ED_5km_m1_1_122.txt,122,5,68.7,1002.65,1.85,1032.87,1.9
2017-12-22_ED_6km_m1_1_122.txt,122,6,68.7,1049.53,2.23,1093.2,2.29
2017-12-22_ED_2km_m1_1_123.txt,123,2,59.6,748.15,1.44,752.25,1.47
2017-12-22_ED_3km_m1_1_123.txt,123,3,59.6,817.72,1.56,822.47,1.57
2017-12-22_ED_4km_m1_1_123.txt,123,4,59.6,843.92,1.64,853.2,1.64
2017-12-22_ED_5km_m1_1_123.txt,123,5,59.6,861.23,1.73,878.85,1.76
2017-12-22_ED_6km_m1_1_123.txt,123,6,59.6,882.89,1.93,912.78,2.01
2017-12-23_ED_2km_m1_1_124.txt,124,2,53,683.79,1.38,688.53,1.43
2017-12-23_ED_3km_m1_1_124.txt,124,3,53,707.49,1.47,714.94,1.56
2017-12-23_ED_4km_m1_1_124.txt,124,4,53,719.49,1.55,731.35,1.71
2017-12-23_ED_5km_m1_1_124.txt,124,5,53,736.05,1.65,739.64,1.93
2017-12-23_ED_6km_m1_1_124.txt,124,6,53,775.26,1.75,781.44,2.05
2017-12-22_ED_2km_m1_1_125.txt,125,2,58.7,740.28,1.29,748.34,1.31
2017-12-22_ED_3km_m1_1_125.txt,125,3,58.7,830.98,1.53,840.7,1.55
2017-12-22_ED_4km_m1_1_125.txt,125,4,58.7,893.9,1.75,904.56,1.78
2017-12-22_ED_5km_m1_1_125.txt,125,5,58.7,941.83,2,957.08,2.07
2017-12-22_ED_6km_m1_1_125.txt,125,6,58.7,1007.9,2.2,1030.15,2.25
2016-11-29_ED_2km_1_m2_020.txt,202,2,90.6,1047.73,1.3,1055.14,1.34
2016-11-29_ED_3km_1_m2_020.txt,202,3,90.6,1067.66,1.42,1075.28,1.54
2016-11-29_ED_4km_1_m2_020.txt,202,4,90.6,1113.32,1.62,1131.67,1.88
2016-11-29_ED_5km_1_m2_020.txt,202,5,90.6,1165.36,1.89,1180.83,2.1
2016-11-29_ED_6km_1_m2_020.txt,202,6,90.6,1330.6,2.09,1357.03,2.37
2017-04-24_ED_2km_m3_1_020.txt,203,2,75.2,867.69,1.24,876.5,1.3
2017-04-24_ED_3km_m3_1_020.txt,203,3,75.2,892.77,1.36,907.52,1.49
2017-04-24_ED_4km_m3_1_020.txt,203,4,75.2,921.56,1.49,942.63,1.66
2017-04-24_ED_5km_m3_1_020.txt,203,5,75.2,984.24,1.7,1014.13,1.84
2017-04-24_ED_6km_m3_1_020.txt,203,6,75.2,1115.5,1.91,1145.83,2.17
